keynmer,nambe,replicas,contrib,crystal_lattice_energy,priority_cutoff,min_separations
2mer-0+1,-27.567746201994776,6,-82.70323860598432,-82.70323860598432,0.0017489237787727267, 2.588 
3mer-0+1+2,-26.254996382852166,3,-26.254996382852166,-108.9582349888365,6.255103294673478e-07, 2.428  2.588  2.588 
3mer-0+1+5,-26.254996382852166,3,-26.254996382852166,-135.21323137168866,6.255103294189915e-07, 2.588  2.588  2.588 
3mer-0+1+4,-26.254996382852166,3,-26.254996382852166,-161.46822775454083,1.4062311780527838e-08, 2.588  2.588  3.945 
3mer-0+1+6,-26.254996382852166,3,-26.254996382852166,-187.723224137393,1.6315782900407631e-09, 2.588  2.588  5.012 
